emp_no,first_name,last_name,salary
10001,Georgi,Facello,60117
10004,Chirstian,Koblick,40054
10005,Kyoichi,Maliniak,78228
10006,Anneke,Preusig,40000
10009,Sumant,Peac,60929
10011,Mary,Sluis,42365
10018,Kazuhide,Peha,55881
10019,Lillian,Haddadi,44276
10020,Mayuko,Warwick,40000
10022,Shahaf,Famili,40000
10023,Bojan,Montemayor,47883
10026,Yongqiao,Berztiss,47585
10035,Alain,Chappelet,41538
10047,Zvonko,Nyanchama,54982
10051,Hidefumi,Caine,48817
10053,Sanjiv,Zschoche,67854
10057,Ebbe,Callaway,49616
10058,Berhard,McFarlin,52787
10059,Alejandro,McAlpine,71218
10063,Gino,Leonhardt,40000
10066,Kwee,Schusler,69736
10067,Claudi,Stavenow,44642
10070,Reuven,Garigliano,55999
10072,Hironoby,Sidou,40000
10073,Shir,McClurg,56473
10074,Mokhtar,Bernatsky,61714
10076,Erez,Ritzmann,47319
10088,Jungsoon,Syrzycki,65957
10091,Amabile,Gomatam,40000
10096,Jayson,Mandell,61395
10097,Remzi,Waschkowski,44886
10100,Hironobu,Haraldson,54398
10101,Perla,Heyers,66591
10103,Akemi,Birch,68158
10106,Eben,Aingworth,62928
10108,Lunjin,Giveon,40000
10116,Dayanand,Czap,44034
10126,Kayoko,Valtorta,40000
10127,Subir,Baja,40000
10129,Armond,Peir,40000
10130,Nishit,Casperson,40000
10131,Magdalena,Eldridge,48475
10134,Diederik,Siprelle,40000
10138,Perry,Shimshoni,53574
10149,Xiadong,Perry,88740
10150,Zhenbing,Perng,70122
10152,Jaques,Munro,40000
10153,Heekeun,Majewski,54246
10157,Nigel,Aloisi,48770
10159,Serif,Buescher,52881
10160,Debatosh,Khasidashvili,91622
10161,Hairong,Mellouli,43149
10163,Karsten,Szmurlo,41603
10166,Samphel,Siegrist,51586
10177,Pragnesh,Iisaka,48041
10183,Mechthild,Bonifati,40000
10186,Shigehito,Kropatsch,40000
10189,Khalid,Erva,41222
10194,Josyula,Hofmeyr,64941
10196,Marc,Hellwagner,86671
10198,Pranav,Furedi,44076
10203,Steen,Escriba,40000
10205,Mabhin,Leijenhorst,40000
10207,Girolamo,Anandan,52783
10215,Xiaobin,Duclos,43944
10217,Yongmin,Roison,40000
10219,Genta,Kolvik,40000
10224,Leon,Trogemann,40000
10228,Karoline,Cesareni,79474
10229,Ulises,Takanami,58321
10230,Clyde,Vernadat,47531
10233,Lein,Vendrig,40000
10237,Yannis,Mandell,100715
10239,Nikolaos,Llado,65146
10240,Remko,Maccarone,73874
10248,Frederique,Tempesti,58918
10249,Marie,Boreale,72192
10258,Basil,Ishibashi,66280
10262,Mahendra,Maraist,63005
10272,Yishai,Cannane,58070
10278,Lubomir,Nitsch,51703
10281,Moty,Kusakari,46123
10282,Hercules,Benzmuller,40000
10283,Kauko,Birjandi,40000
10284,Masali,Murrill,40000
10286,Saddek,Gopalakrishnan,40000
10294,Rutger,Miara,66448
10295,Kristine,Velardi,46398
10298,Dietrich,DuCasse,40000
10302,Faiza,Baer,58239
10305,Hirochika,Piancastelli,52550
10306,Heng,Kilgour,44229
10307,Nikolaos,Leaver,40000
10321,Guenter,Ravishankar,86819
10322,Isamu,Dahlbom,41968
10325,Arunachalam,Badr,44325
10326,Masali,Czap,40000
10327,Roded,Facello,54734
10328,Serenella,Kawashima,46286
10333,Snehasis,Dymetman,45141
10340,Djelloul,Laventhal,68132
10343,Dinah,Syrzycki,40000
10347,Pradeep,Kaminger,42199
10349,Oksana,Brodie,47518
10350,Kristen,Kavvadias,41213
10353,Phule,Hammerschmidt,62656
10355,Satyanarayana,Cochrane,70434
10356,Vasilis,Standera,45376
10358,Qunsheng,Tagansky,63243
10363,Toshiki,Muniz,40401
10364,Nakhoon,Dengi,51401
10367,Hyuckchul,Gini,63565
10372,Anneli,Frijda,54505
10374,Willard,Rosin,69568
10377,Marl,Grospietsch,40000
10382,Shirish,Dredge,45785
10387,Parto,Wrigley,61374
10388,Hironoby,Kaiser,62545
10389,Make,Peir,55548
10395,Takahiro,Deverell,42774
10396,Sibyl,Rahier,40393
10397,Irena,Reutenauer,40529
10402,Volkmar,Ebeling,40000
10404,Prodip,Rosti,51647
10407,Ulf,Siepmann,62565
10413,Danel,Impagliazzo,45416
10414,Yinlin,Alpin,43255
10418,Candida,Porotnikoff,52224
10422,Greger,Rubsam,45725
10426,Arunas,Luce,65757
10429,Martien,Improta,40000
10432,Hisao,Tiemann,40000
10433,Reuven,Dengi,40000
10442,Volkmar,Unno,46005
10443,Shichao,Litvinov,55299
10451,Bodh,Ranta,46275
10453,Tsvetan,Matzel,40000
10463,Ung,Zaiane,66480
10466,Jiakeng,Himler,55318
10477,Guoxiang,Trogemann,55138
10486,Amstein,Kossowski,71692
10494,Yakkov,Servieres,50094
10497,Pramod,Rabehasaina,63707
10499,Maik,Luft,40000
10503,Dannz,Pell,40000
10504,Xiong,Varker,43931
10509,Abdelwaheb,Riesenhuber,49292
10512,Udi,Gihr,40000
10517,Tiina,Speek,65330
10519,Yonghoan,Alencar,40000
10522,Marke,Cesareni,40000
10529,Ymte,Yetto,47840
10531,Oguz,Gimbel,49168
10538,Przemyslawa,Falby,72002
10541,Godehard,Eiter,50741
10542,Yannis,Couchot,40000
10548,Ramalingam,Gunderson,90631
10552,Kazuhito,Shiratori,80483
10564,Jianhao,Thisen,46660
10568,Gao,Poulakidas,64356
10575,Theirry,Yeung,40523
10586,Kirk,Vuskovic,47541
10591,Hidde,Hettesheimer,55131
10593,Falguni,Kenevan,71435
10596,Sanjit,Coors,58689
10603,Wayne,Restivo,101271
10608,Adhemar,Talmor,40000
10610,Irena,Roccetti,49812
10614,Gila,Ozeri,40000
10615,Keung,Delgrande,43533
10617,Hidekazu,Angel,40000
10623,Aleksander,Danlos,60268
10624,Sham,Gyorkos,40000
